gram,seed_q_prob
221,0.1776035538207098
413,0.10597076573949588
441,0.08994628810120864
142,0.0851702833739201
014,0.06819391302010122
004,0.06410190388779372
024,0.05658034374166014
232,0.05515509279533294
204,0.05218694461492504
223,0.048548111916346566
342,0.038315587973369654
012,0.03788814275636233
340,0.02866528708264718
141,0.026742415939828457
023,0.025011445448548407
312,0.015127006425957445
103,0.012690102270200985
301,0.00704142719685546
400,0.002800487728524668
412,0.0022608961662111565
